layers,d_model,heads,mlp,ctx,params,ppl,src
1,128,4,512,60,2756992,121.99109943545511,quick-ctx60
1,128,4,512,256,2756992,153.59630862613557,quick-ctx256
1,128,8,512,60,2756992,120.94024864570555,quick-ctx60
1,128,16,512,60,2756992,125.36990205239424,quick-ctx60
1,256,4,1024,60,5907200,111.9794486188599,quick-ctx60
1,256,8,1024,60,5907200,109.88885048942242,quick-ctx60
1,256,8,1024,256,5907200,158.35901522873502,quick-ctx256
1,256,16,1024,60,5907200,112.34893506912327,quick-ctx60
1,512,4,2048,60,13387264,112.39504681184071,quick-ctx60
1,512,8,2048,60,13387264,112.4388097928821,quick-ctx60
1,512,16,2048,60,13387264,116.46029061220032,quick-ctx60
1,512,16,2048,256,13387264,209.7735139867478,quick-ctx256
3,32,4,32,64,658656,115.1876449584961,grid-mixed
3,32,4,64,64,664800,120.5877914428711,grid-mixed
3,32,4,128,64,677088,114.76341247558594,grid-mixed
3,32,4,128,64,677088,112.36726379394531,grid-width
3,40,4,160,64,857880,110.5624771118164,grid-width
3,48,4,192,64,1043280,108.97985076904297,grid-width
3,56,4,224,64,1233288,104.7832260131836,grid-width
3,64,4,64,64,1354176,112.07749938964844,grid-mixed
3,64,4,128,64,1378752,102.1983413696289,grid-mixed
3,64,4,256,64,1427904,104.59661102294922,grid-mixed
3,64,4,256,64,1427904,101.79515075683594,grid-width
3,64,8,64,64,1354176,105.89408111572266,grid-mixed
3,64,8,128,64,1378752,102.04747772216797,grid-mixed
3,64,8,256,64,1427904,106.08067321777344,grid-mixed
3,72,4,288,64,1627128,102.58356475830078,grid-width
3,80,4,320,64,1830960,103.2239990234375,grid-width
3,88,4,352,64,2039400,104.6445083618164,grid-width
3,96,4,96,64,2086560,103.4785385131836,grid-mixed
3,96,4,192,64,2141856,102.95604705810547,grid-mixed
3,96,4,384,64,2252448,101.73609924316406,grid-mixed
3,96,4,384,64,2252448,106.57266998291016,grid-width
3,96,8,96,64,2086560,106.98819732666016,grid-mixed
3,96,8,192,64,2141856,104.097412109375,grid-mixed
3,96,8,384,64,2252448,100.06310272216797,grid-mixed
3,104,4,416,64,2470104,100.626708984375,grid-width
3,112,4,448,64,2692368,106.43940734863281,grid-width
3,120,4,480,64,2919240,103.1900405883789,grid-width
3,128,4,512,60,3150720,108.41377991241589,quick-ctx60
3,128,4,128,64,2855808,112.6527328491211,grid-mixed
3,128,4,256,64,2954112,108.62773895263672,grid-mixed
3,128,4,512,64,3150720,104.0240249633789,grid-mixed
3,128,8,512,60,3150720,114.07460188205384,quick-ctx60
3,128,8,128,64,2855808,108.465576171875,grid-mixed
3,128,8,256,64,2954112,108.90914916992188,grid-mixed
3,128,8,512,64,3150720,105.31382751464844,grid-mixed
3,128,16,512,60,3150720,111.22145184967238,quick-ctx60
3,128,16,128,64,2855808,106.64764404296875,grid-mixed
3,128,16,256,64,2954112,105.5948715209961,grid-mixed
3,128,16,512,64,3150720,101.93367767333984,grid-mixed
3,136,4,544,64,3386808,107.93246459960938,grid-width
3,144,4,576,64,3627504,106.2049789428711,grid-width
3,152,4,608,64,3872808,110.54486846923828,grid-width
3,160,4,640,64,4122720,109.1385726928711,grid-width
3,168,4,672,64,4377240,109.10724639892578,grid-width
3,176,4,704,64,4636368,112.11924743652344,grid-width
3,184,4,736,64,4900104,115.02961730957031,grid-width
3,192,4,768,64,5168448,119.39374542236328,grid-width
3,200,4,800,64,5441400,117.48854064941406,grid-width
3,208,4,832,64,5718960,115.30277252197266,grid-width
3,216,4,864,64,6001128,116.00447845458984,grid-width
3,224,4,896,64,6287904,120.4245376586914,grid-width
3,256,4,1024,60,7481088,108.8560870604016,quick-ctx60
3,256,4,1024,256,7481088,133.54346232874846,quick-ctx256
3,256,8,1024,60,7481088,107.47082863418368,quick-ctx60
3,256,16,1024,60,7481088,107.78193375266476,quick-ctx60
3,512,4,2048,60,19680768,112.27933825896359,quick-ctx60
3,512,8,2048,60,19680768,115.06465811312181,quick-ctx60
3,512,8,2048,256,19680768,149.51085360445927,quick-ctx256
3,512,16,2048,60,19680768,112.3459306134902,quick-ctx60
9,128,16,512,256,4331904,152.51899835279892,quick-ctx256
9,512,4,2048,256,38561280,519.6788128102861,quick-ctx256
